,lncRNA,disease,pred,label,evidence
98006,CDKN2B-AS1,DOID:768,0.8804859519004822,0,0
18751,ERICH1-AS1,DOID:768,0.6858190894126892,0,0
88938,LINC01628,DOID:768,0.552532434463501,0,0
75166,PISRT1,DOID:768,0.4319424629211426,0,0
83835,NALT1,DOID:768,0.4186972677707672,0,0
61521,H19,DOID:768,0.38159292936325073,0,1
80810,ESRG,DOID:768,0.3340557813644409,0,0
11327,PVT1,DOID:768,0.28541722893714905,0,0
20421,MIR100HG,DOID:768,0.2736443877220154,0,0
43236,LINC00467,DOID:768,0.2597666382789612,0,0
88408,MEG3,DOID:768,0.22377407550811768,0,1
50821,MYCNOS,DOID:768,0.16294071078300476,0,0
33552,CASC15,DOID:768,0.15376074612140656,0,0
89238,HAND2-AS1,DOID:768,0.15011316537857056,0,0
27747,BCYRN1,DOID:768,0.12894125282764435,0,0
45137,NBAT1,DOID:768,0.09937155246734619,0,0
35071,MALAT1,DOID:768,0.021536605432629585,0,1
26454,HOTAIR,DOID:768,0.013050968758761883,0,1
27157,XIST,DOID:768,0.011885574087500572,0,1
42471,GAS5,DOID:768,0.005374925676733255,0,0
75783,SOX2-OT,DOID:768,0.004450857173651457,0,0
32139,KCNQ1OT1,DOID:768,0.00429803691804409,0,0
4780,NEAT1,DOID:768,0.004282942041754723,0,0
16378,ATXN8OS,DOID:768,0.004148057196289301,0,0
7424,HCP5,DOID:768,0.003928510472178459,0,0
12113,IFNG-AS1,DOID:768,0.0031897330190986395,0,0
94669,HAR1A,DOID:768,0.003151305951178074,0,0
26730,LINC01080,DOID:768,0.0030198984313756227,0,0
53296,TUG1,DOID:768,0.0027339099906384945,0,0
76805,CDKN2A-AS1,DOID:768,0.0024321062956005335,0,0
75621,DLEU2,DOID:768,0.0014259829185903072,0,0
89008,CCAT1,DOID:768,0.001074673142284155,0,1
10668,CCDC26,DOID:768,0.0010056443279609084,0,0
57268,HLA-F-AS1,DOID:768,0.0008491298649460077,0,0
16016,DANCR,DOID:768,0.0008246294455602765,0,1
56554,TP53COR1,DOID:768,0.0007680378621444106,0,0
40246,UCA1,DOID:768,0.0007512251031585038,0,1
47989,PSORS1C3,DOID:768,0.0005723608192056417,0,0
71109,DISC2,DOID:768,0.0005636460846289992,0,0
79882,TP73-AS1,DOID:768,0.0005433023907244205,0,1
92245,WT1-AS,DOID:768,0.0005304496153257787,0,0
2906,MESTIT1,DOID:768,0.0005154169630259275,0,0
9811,SPRY4-IT1,DOID:768,0.000512516766320914,0,0
85780,SNHG4,DOID:768,0.0005010615568608046,0,0
25437,PCA3,DOID:768,0.00044209390762262046,0,0
46192,PCGEM1,DOID:768,0.00038404433871619403,0,0
50760,HOTTIP,DOID:768,0.0003435710968915373,0,0
4635,SCHLAP1,DOID:768,0.00031946663511916995,0,0
38420,CTBP1-AS,DOID:768,0.00031851930543780327,0,0
29726,CASC2,DOID:768,0.00031171823502518237,0,0
77683,TUSC7,DOID:768,0.0002975513634737581,0,0
42893,MIR99AHG,DOID:768,0.0002966681495308876,0,0
15071,HOTAIRM1,DOID:768,0.0002959968987852335,0,0
2763,HNF1A-AS1,DOID:768,0.00029416376492008567,0,0
41655,NRON,DOID:768,0.0002841693058144301,0,0
97296,THRIL,DOID:768,0.0002816962660290301,0,0
4453,LINC00474,DOID:768,0.00027782455435954034,0,0
63714,IGF2-AS,DOID:768,0.00027083681197836995,0,0
35477,GACAT2,DOID:768,0.00026861033984459937,0,0
3987,PRNCR1,DOID:768,0.0002484029100742191,0,0
15436,C1QTNF9B-AS1,DOID:768,0.00024819080135785043,0,0
81822,PCAT1,DOID:768,0.00024681835202500224,0,0
14838,MIAT,DOID:768,0.00023939363018143922,0,0
61982,HYMAI,DOID:768,0.00023808001424185932,0,0
92130,LINCMD1,DOID:768,0.0002219896559836343,0,0
37565,GHET1,DOID:768,0.00022178654035087675,0,0
95138,IL12A-AS1,DOID:768,0.00021542583999689668,0,0
71712,LINC00299,DOID:768,0.0002042679989244789,0,0
43913,TINCR,DOID:768,0.00020225012849550694,0,0
48226,LSINCT5,DOID:768,0.0002000148087972775,0,0
66037,PRINS,DOID:768,0.00019344266911502928,0,0
24936,NPTN-IT1,DOID:768,0.00019220367539674044,0,0
19379,CCAT2,DOID:768,0.00019092453294433653,0,0
86932,LINC01133,DOID:768,0.00018595960864331573,0,0
63264,CRNDE,DOID:768,0.00018502751481719315,0,0
78724,LINC00961,DOID:768,0.00018385591101832688,0,0
48719,MIR124-2HG,DOID:768,0.00017340203339699656,0,0
14225,LINC00163,DOID:768,0.00017212177044712007,0,0
30197,LINC-PINT,DOID:768,0.00016723060980439186,0,0
