,lncRNA,disease,pred,label,evidence
8318,DLEU2,DOID:9538,0.9998612403869629,0,0
20619,SNHG4,DOID:9538,0.9993863105773926,0,0
87151,WT1-AS,DOID:9538,0.999311089515686,0,0
61540,H19,DOID:9538,0.9989514350891113,0,1
63257,CDKN2B-AS1,DOID:9538,0.9983477592468262,0,0
66890,CCDC26,DOID:9538,0.928425669670105,0,0
74872,MIR100HG,DOID:9538,0.9132598638534546,0,0
26315,MIR99AHG,DOID:9538,0.9080022573471069,0,0
35700,PSORS1C3,DOID:9538,0.8945843577384949,0,0
49218,TP53COR1,DOID:9538,0.8171672224998474,0,0
36324,MIR155HG,DOID:9538,0.8153425455093384,0,0
59497,UCA1,DOID:9538,0.7927747368812561,0,1
13067,HOTAIRM1,DOID:9538,0.7316319942474365,0,0
38107,HULC,DOID:9538,0.37728673219680786,0,0
78862,NEAT1,DOID:9538,0.20303243398666382,0,1
88900,XIST,DOID:9538,0.0827145054936409,0,0
46398,KCNQ1OT1,DOID:9538,0.05440857633948326,0,0
5403,CCAT1,DOID:9538,0.02967844158411026,0,1
93984,HCP5,DOID:9538,0.027719564735889435,0,0
89917,PISRT1,DOID:9538,0.014310451224446297,0,0
82688,ERICH1-AS1,DOID:9538,0.01007408183068037,0,0
40918,LINC01628,DOID:9538,0.006964425090700388,0,0
34496,BANCR,DOID:9538,0.006666533648967743,0,0
60538,DISC2,DOID:9538,0.00568518228828907,0,0
83456,SPRY4-IT1,DOID:9538,0.005370547994971275,0,0
49956,HLA-F-AS1,DOID:9538,0.0051659271121025085,0,0
67821,PCA3,DOID:9538,0.004622331820428371,0,0
88572,NALT1,DOID:9538,0.004266299307346344,0,0
81435,TINCR,DOID:9538,0.004024255555123091,0,0
77621,PCGEM1,DOID:9538,0.0040205130353569984,0,0
80383,DANCR,DOID:9538,0.003929425030946732,0,0
25957,HOTTIP,DOID:9538,0.0038736886344850063,0,0
97607,SOX2-OT,DOID:9538,0.0034983097575604916,0,0
45736,ESRG,DOID:9538,0.0034899951424449682,0,0
37387,ATXN8OS,DOID:9538,0.0033285615500062704,0,0
51052,HNF1A-AS1,DOID:9538,0.003231006907299161,0,0
65652,MESTIT1,DOID:9538,0.003165068570524454,0,0
36584,BCYRN1,DOID:9538,0.003111638594418764,0,0
92881,SCHLAP1,DOID:9538,0.0029860935173928738,0,0
71847,GACAT2,DOID:9538,0.0029421369545161724,0,0
59397,TUSC7,DOID:9538,0.0028413841500878334,0,0
84008,IGF2-AS,DOID:9538,0.0027905774768441916,0,0
44612,CTBP1-AS,DOID:9538,0.002659756224602461,0,0
25477,CASC2,DOID:9538,0.0024610429536551237,0,0
24557,PRNCR1,DOID:9538,0.0024035766255110502,0,0
15322,GHET1,DOID:9538,0.0023544668219983578,0,0
57715,C1QTNF9B-AS1,DOID:9538,0.0022475700825452805,0,0
3190,PCAT1,DOID:9538,0.0022368619684129953,0,1
6302,LSINCT5,DOID:9538,0.0021908662747591734,0,0
62195,HYMAI,DOID:9538,0.002104391809552908,0,0
17267,CCAT2,DOID:9538,0.0020455389749258757,0,0
77354,NPTN-IT1,DOID:9538,0.0020039312075823545,0,0
24284,LINC00961,DOID:9538,0.0018889865605160594,0,0
11150,LINC01133,DOID:9538,0.0017980231205001473,0,0
75097,CRNDE,DOID:9538,0.0017928520683199167,0,1
21968,LINC00474,DOID:9538,0.0017812957521528006,0,0
24414,CDKN2A-AS1,DOID:9538,0.001727786846458912,0,0
41643,NRON,DOID:9538,0.0017227320931851864,0,0
33319,PRINS,DOID:9538,0.0017114098882302642,0,1
14436,MIAT,DOID:9538,0.0016999274957925081,0,0
38786,LINC-PINT,DOID:9538,0.0016662062844261527,0,0
95105,IFNG-AS1,DOID:9538,0.0016316971741616726,0,0
6606,THRIL,DOID:9538,0.0016298131085932255,0,0
28548,MIR124-2HG,DOID:9538,0.0016223560087382793,0,0
48156,LINC00583,DOID:9538,0.001615166780538857,0,0
46814,HAR1A,DOID:9538,0.0016023223288357258,0,0
51479,LINCMD1,DOID:9538,0.0015904867323115468,0,0
28355,KIRREL3-AS3,DOID:9538,0.001536727068014443,0,0
91308,OIP5-AS1,DOID:9538,0.001504578278400004,0,0
26939,C5orf66-AS2,DOID:9538,0.001499364385381341,0,0
19377,LINC01426,DOID:9538,0.001466616871766746,0,0
